Module,Interface,LDP table name,Schema URL,Example URL,Dev API URL
mod-finance-storage,/finance-storage/expense-classes,finance_expense_classes,https://raw.githubusercontent.com/folio-org/acq-models/master/mod-finance/schemas/expense_class.json,https://raw.githubusercontent.com/folio-org/acq-models/master/mod-finance/examples/expense_class_collection.sample,https://s3.amazonaws.com/foliodocs/api/mod-finance-storage/p/expense_class.html
mod-finance-storage,/finance-storage/fiscal-years,finance_fiscal_years,https://raw.githubusercontent.com/folio-org/acq-models/master/mod-finance/schemas/fiscal_year.json,https://raw.githubusercontent.com/folio-org/acq-models/master/mod-finance/examples/fiscal_year_collection.sample,https://s3.amazonaws.com/foliodocs/api/mod-finance-storage/p/fiscal-year.html
mod-finance-storage,/finance-storage/fund-types,finance_fund_types,https://raw.githubusercontent.com/folio-org/acq-models/master/mod-finance/schemas/fund_type.json,https://raw.githubusercontent.com/folio-org/acq-models/master/mod-finance/examples/fund_type_collection.sample,https://s3.amazonaws.com/foliodocs/api/mod-finance-storage/p/fund-type.html
mod-finance-storage,/finance-storage/funds,finance_funds,https://raw.githubusercontent.com/folio-org/acq-models/master/mod-finance/schemas/fund.json,https://raw.githubusercontent.com/folio-org/acq-models/master/mod-finance/examples/fund_collection.sample,https://s3.amazonaws.com/foliodocs/api/mod-finance-storage/p/fund.html
mod-finance-storage,/finance-storage/group-fund-fiscal-years,finance_group_fund_fiscal_years,https://raw.githubusercontent.com/folio-org/acq-models/master/mod-finance/schemas/group_fund_fiscal_year.json,https://raw.githubusercontent.com/folio-org/acq-models/master/mod-finance/examples/group_fund_fiscal_year_collection.sample,https://s3.amazonaws.com/foliodocs/api/mod-finance-storage/p/group_fund_fy.html
mod-finance-storage,/finance-storage/groups,finance_groups,https://raw.githubusercontent.com/folio-org/acq-models/master/mod-finance/schemas/group.json,https://raw.githubusercontent.com/folio-org/acq-models/master/mod-finance/examples/group_collection.sample,https://s3.amazonaws.com/foliodocs/api/mod-finance-storage/p/group.html
mod-finance-storage,/finance-storage/ledgers,finance_ledgers,https://raw.githubusercontent.com/folio-org/acq-models/master/mod-finance/schemas/ledger.json,https://raw.githubusercontent.com/folio-org/acq-models/master/mod-finance/examples/ledger_collection.sample,https://s3.amazonaws.com/foliodocs/api/mod-finance-storage/p/ledger.html
mod-finance-storage,/finance-storage/transactions,finance_transactions,https://raw.githubusercontent.com/folio-org/acq-models/master/mod-finance/schemas/transaction.json,https://raw.githubusercontent.com/folio-org/acq-models/master/mod-finance/examples/transaction_collection.sample,https://s3.amazonaws.com/foliodocs/api/mod-finance-storage/p/transaction.html
mod-inventory-storage,/alternative-title-types,inventory_alternative_title_types,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/alternativetitletype.json,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/examples/alternativetitletypes.json,https://s3.amazonaws.com/foliodocs/api/mod-inventory-storage/p/alternative-title-type.html
mod-inventory-storage,/inventory-storage/bound-with-parts,inventory_bound_with_part,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/bound-with-part.json,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/examples/bound-with-parts.json,https://s3.amazonaws.com/foliodocs/api/mod-inventory-storage/p/bound-with-part.html
mod-inventory-storage,/call-number-types,inventory_call_number_types,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/callnumbertype.json,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/examples/callnumbertypes.json,https://s3.amazonaws.com/foliodocs/api/mod-inventory-storage/p/call-number-type.html
